"smiles","NAME_","F","pref_target_name"
[H]C([H])([H])N(C(=NC(N([H])[H])=[N+]([H])[H])N([H])[H])C([H])([H])[H],CHEMBL1431,43.,Rattus norvegicus
[H]C1([H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])[N+]1([H])[H])O[H])O[H],CHEMBL80254,89.,Rattus norvegicus
[H]c1c([H])c([H])nc([H])c1C([O-])=O,CHEMBL573,100.,Mus musculus
[H]c1c(C(N([H])N([H])[H])=O)c([H])c([H])nc1[H],CHEMBL64,17.36,Rattus norvegicus
[H]c1c([H])c(nc([H])c1C(N([H])[H])=O)N([H])C([H])([H])[H],CHEMBL4218848,19.,Mus musculus
[H]C([H])(C([H])([H])[C@@](C([O-])=O)(C([H])(F)F)N([H])[H])C([H])([H])[N+]([H])([H])[H],CHEMBL830,62.3,Rattus norvegicus
[H]C([H])(C([H])([H])[C@](C([O-])=O)(C([H])(F)F)N([H])[H])C([H])([H])[N+]([H])([H])[H],CHEMBL222838,41.,Rattus norvegicus
[H]C([H])([H])C1=C(C([H])([H])OC(C([H])([H])[H])=O)OC(=O)O1,CHEMBL4283547,33.,Rattus norvegicus
[H]C1([H])C(=C(F)F)[C@]([H])([C@@]([H])(C([O-])=O)C1([H])[H])[N+]([H])([H])[H],CHEMBL2203661,79.,Rattus norvegicus
[H]C([H])([H])C([H])([H])OP(C(P([O-])([O-])=O)([Cl])[Cl])([O-])=O,CHEMBL1160483,37.9,Rattus norvegicus
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])[C@@]([H])(C(N2[O-])=O)[N+]([H])([H])[H],CHEMBL2047851,10.8,Rattus norvegicus
[H]c1c([H])c(c([H])c2c1C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])[Cl],CHEMBL360328,86.,Rattus norvegicus
[H]c1c([H])c2c(c(c1[H])[Cl])[C@@]([H])(C([H])([H])[H])N([H])C(N([H])[H])=[N+]2[H],CHEMBL270177,59.,Mus musculus
[H]C([H])([H])C([H])(C([H])([H])[H])OP(C(P([O-])([O-])=O)([Cl])[Cl])([O-])=O,CHEMBL1160503,3.6,Rattus norvegicus
[H]C1([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C1([H])[H])[N+]([H])([H])[H])N([H])C(=O)P([O-])([O-])=O,CHEMBL270083,0.35,Rattus norvegicus
[H]C1([H])[C@@](C([O-])=O)([C@]2([H])[C@@]([H])(C([O-])=O)[C@]2([H])[C@]1([H])F)[N+]([H])([H])[H],CHEMBL2381652,64.4,Rattus norvegicus
[H]C1([H])[C@@](C([O-])=O)([C@]2([H])[C@@]([H])(C([O-])=O)[C@]2([H])[S@]1=O)[N+]([H])([H])[H],CHEMBL218710,100.,Rattus norvegicus
[H]C(=C([H])c1c([H])c([H])nc(n1)N([H])[H])c1c([H])c([H])c([H])c([H])c1[H],CHEMBL1209431,51.,Rattus norvegicus
[H]C([H])([H])C(C(N([H])[C@]1([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=O)=O)(C([H])([H])[H])C([H])([H])[H],CHEMBL512607,71.,Rattus norvegicus
[H]C([H])([H])C([H])([H])OP(C(P([O-])(=O)OC([H])([H])C([H])([H])[H])([Cl])[Cl])([O-])=O,CHEMBL1160495,34.,Rattus norvegicus
[H]C1([H])C([H])([H])[C@@]([H])(C#N)N(C([C@]2([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[N+]2([H])[H])=O)C1([H])[H],CHEMBL210869,58.,Rattus norvegicus
[H]C1([H])[C@@](C([O-])=O)([C@]2([H])[C@@]([H])(C([O-])=O)[C@]2([H])S1(=O)=O)N([H])[H],CHEMBL375611,63.,Rattus norvegicus
[H]C1=C([H])N(C(N=C1N([H])[H])=O)[C@]1([H])C([H])([H])S[C@]([H])(C([H])([H])O[H])O1,CHEMBL141,18.7,Rattus norvegicus
[H]c1c([H])c([H])c2c(c1[H])c(c1c(C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[n+]2[H])N([H])[H],CHEMBL1677,27.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C([O-])=O)C([H])([H])[H],CHEMBL521,100.,Rattus norvegicus
[H]C(=C1C([N-]C(=O)S1)=O)c1c([H])c([H])c(c([H])c1[H])OC([H])([H])[H],CHEMBL85496,14.89,Mus musculus
[H]C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])S[N+]([H])=C(N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])[H])N([H])[H],CHEMBL539377,64.5,Rattus norvegicus
[H]C1=C([H])[C@]([H])(N2C([H])=C(C(N([H])C2=O)=O)C([H])([H])[H])O[C@]1([H])C([H])([H])O[H],CHEMBL991,100.,Mus musculus
[H]c1c([C@@]([H])([C@]([H])([C@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(C(C([H])([H])[H])=O)n1[H],CHEMBL450848,17.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])n([H])c([C@]([H])(C([H])([H])[H])O[H])n1,CHEMBL444684,22.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(C(C([H])([H])[H])=O)n1[H],CHEMBL488336,14.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])sc(C(C([H])([H])[H])=O)n1,CHEMBL488545,65.,Mus musculus
[H]c1c([C@]([H])([C@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(C(C([H])([H])[H])=O)n1[H],CHEMBL490657,25.,Mus musculus
[H]c1c([H])c([H])c2c(c1[H])c(nc(N([H])[H])[n+]2[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],CHEMBL4166634,5.4,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])F)C([H])([H])[C@@]1([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])C1([H])[H],CHEMBL1778766,89.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])O[C@@]1([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])C1([H])[H],CHEMBL1778764,100.,Rattus norvegicus
